Term,LoanStatus,BorrowerRate,LenderYield,ProsperScore,ListingCategory (numeric),EmploymentStatus,LoanOriginalAmount,EstimatedLoss,EstimatedReturn,IncomeVerifiable
36,Current,0.092,0.082,7.0,2,Employed,10000,0.0249,0.0547,True
36,Current,0.0974,0.0874,9.0,16,Employed,10000,0.0249,0.06,True
36,Current,0.2085,0.1985,4.0,2,Employed,15000,0.0925,0.09066,True
60,Current,0.1314,0.1214,10.0,1,Employed,15000,0.0449,0.07077,True
36,Current,0.2712,0.2612,2.0,1,Employed,3000,0.1275,0.1107,True
36,Current,0.2019,0.1919,4.0,2,Employed,10000,0.0799,0.0984,True
36,Current,0.0629,0.0529,9.0,7,Employed,10000,0.0099,0.04231,True
36,Current,0.0629,0.0529,10.0,7,Employed,10000,0.0099,0.04231,True
60,Current,0.2489,0.2389,7.0,1,Employed,13500,0.089,0.1442,True
36,PastDue,0.1435,0.1335,4.0,1,Employed,4000,0.0524,0.074,True
36,Current,0.1034,0.0934,8.0,1,Employed,8500,0.0274,0.0631,True
60,Current,0.0949,0.0849,8.0,1,Employed,19330,0.0224,0.0603,True
36,Defaulted,0.3177,0.3077,5.0,13,Other,4000,0.165,0.1246,True
60,Current,0.2809,0.2709,4.0,6,Full-time,4000,0.1225,0.1248,True
36,Current,0.0974,0.0874,7.0,1,Employed,15000,0.0249,0.06,True
60,Current,0.2225,0.2125,8.0,1,Employed,6500,0.1025,0.0927,True
36,Current,0.1314,0.1214,7.0,1,Employed,14000,0.0449,0.07077,True
36,Current,0.3134,0.3034,2.0,1,Other,4000,0.1575,0.1185,True
36,Defaulted,0.2419,0.2319,5.0,15,Employed,2000,0.1075,0.1051,True
36,Current,0.162,0.152,5.0,1,Employed,4000,0.0649,0.07766,True
36,Current,0.2629,0.2529,3.0,15,Employed,4000,0.1275,0.10307000000000001,True
60,Completed,0.2809,0.2709,3.0,1,Employed,4000,0.1225,0.1248,True
36,Completed,0.092,0.082,9.0,1,Full-time,4000,0.021,0.0608,True
36,Current,0.166,0.156,4.0,2,Employed,10000,0.0624,0.08421000000000001,True
36,Current,0.1239,0.1139,6.0,1,Employed,35000,0.0399,0.0691,True
36,Completed,0.0999,0.0899,9.0,20,Employed,10000,0.038,0.0517,True
36,Current,0.3177,0.3077,5.0,2,Other,2000,0.1625,0.1271,True
36,Current,0.1274,0.1174,8.0,1,Employed,25000,0.0424,0.0697,True
36,Completed,0.0785,0.0685,10.0,7,Employed,16000,0.013,0.0555,True
36,Current,0.192,0.182,5.0,1,Other,10000,0.0899,0.0782,True
36,Current,0.1621,0.1521,8.0,1,Employed,9000,0.0595,0.09,True
36,Current,0.285,0.275,2.0,1,Employed,10000,0.1475,0.10255999999999998,True
36,Current,0.2469,0.2369,6.0,15,Employed,5000,0.1175,0.099,True
36,Current,0.0759,0.0659,9.0,1,Other,7000,0.0149,0.0498,True
60,Current,0.1725,0.1625,4.0,1,Self-employed,15000,0.0724,0.07923,False
60,Current,0.2085,0.1985,8.0,7,Employed,13000,0.0565,0.1385,True
36,Current,0.176,0.166,6.0,1,Employed,5000,0.0699,0.08528999999999999,True
36,Current,0.1734,0.1634,5.0,1,Employed,16000,0.0624,0.0912,True
60,Current,0.1099,0.0999,7.0,1,Employed,25000,0.0299,0.0666,True
36,Current,0.1299,0.1199,8.0,1,Employed,15000,0.0399,0.0749,True
60,Current,0.1519,0.1419,6.0,1,Employed,15000,0.0474,0.0876,True
60,Current,0.0949,0.0849,10.0,1,Employed,25000,0.0224,0.0603,True
60,Current,0.215,0.205,5.0,1,Employed,10000,0.1025,0.08578,True
36,Current,0.1799,0.1699,8.0,1,Employed,2500,0.0595,0.1074,True
36,Current,0.1153,0.1053,6.0,1,Employed,7000,0.0324,0.0691,True
36,Current,0.2712,0.2612,4.0,1,Employed,3000,0.1275,0.1107,True
60,Current,0.1852,0.1752,5.0,2,Employed,18000,0.0449,0.1272,True
36,Current,0.1399,0.1299,7.0,1,Employed,10000,0.0449,0.0789,True
36,Current,0.187,0.177,4.0,1,Employed,15000,0.0774,0.08728,True
36,Chargedoff,0.2552,0.2452,5.0,1,Employed,2000,0.119,0.1202,True
60,Current,0.1519,0.1419,6.0,1,Employed,8000,0.0474,0.0876,True
60,Current,0.1695,0.1595,7.0,1,Employed,25000,0.0649,0.08473,True
36,Current,0.1274,0.1174,8.0,19,Employed,2000,0.0424,0.0697,True
36,Current,0.2699,0.2599,4.0,1,Employed,5000,0.1325,0.10422999999999999,True
36,Current,0.1605,0.1505,4.0,1,Other,15000,0.0674,0.07349,True
12,Completed,0.2669,0.2569,3.0,1,Employed,3000,0.13,0.1152,True
60,Current,0.1139,0.1039,10.0,1,Self-employed,9000,0.0349,0.06498999999999999,False
36,Current,0.2049,0.1949,6.0,1,Employed,10000,0.0824,0.0984,True
36,Current,0.3177,0.3077,4.0,13,Employed,2774,0.1625,0.1174,True
36,Completed,0.2599,0.2499,6.0,7,Employed,4500,0.112,0.1317,True
36,Current,0.2272,0.2172,3.0,1,Employed,4000,0.0975,0.1025,True
36,Chargedoff,0.3199,0.3099,5.0,7,Employed,2500,0.147,0.1487,True
36,Chargedoff,0.2859,0.2759,2.0,19,Employed,4000,0.1375,0.1137,True
36,Completed,0.1099,0.0999,8.0,6,Full-time,5600,0.0495,0.0488,True
36,Current,0.2049,0.1949,5.0,1,Employed,22500,0.0824,0.0984,True
36,Current,0.2394,0.2294,4.0,1,Employed,4000,0.1175,0.09211,True
60,Current,0.1,0.09,10.0,1,Employed,25000,0.0124,0.0762,True
36,PastDue,0.2932,0.2832,2.0,7,Employed,4000,0.1425,0.115,True
36,Chargedoff,0.2958,0.2858,6.0,7,Employed,4000,0.147,0.1257,True
60,Current,0.1984,0.1884,5.0,1,Employed,20000,0.0674,0.1091,True
60,Current,0.1875,0.1775,4.0,1,Employed,10000,0.0824,0.08223,True
36,Current,0.1905,0.1805,4.0,1,Employed,4500,0.0849,0.08227000000000001,True
36,Completed,0.2999,0.2899,3.0,1,Employed,4000,0.149,0.1276,True
36,Completed,0.3199,0.3099,3.0,7,Employed,4000,0.165,0.1267,True
36,Current,0.1768,0.1668,8.0,6,Employed,3500,0.0565,0.1074,True
36,Completed,0.322,0.312,5.0,1,Employed,3500,0.142,0.1557,True
60,Chargedoff,0.2489,0.2389,7.0,18,Employed,7000,0.089,0.1442,True
36,Current,0.3177,0.3077,3.0,7,Employed,4000,0.165,0.1246,True
36,Current,0.099,0.089,8.0,1,Employed,20000,0.0274,0.058789999999999995,True
60,Current,0.2124,0.2024,8.0,1,Employed,15000,0.0599,0.1389,True
36,Current,0.1939,0.1839,6.0,7,Employed,2000,0.0749,0.0965,True
36,Current,0.1355,0.1255,9.0,1,Employed,4000,0.0474,0.07192,True
60,Current,0.0869,0.0769,10.0,2,Other,10000,0.0199,0.0552,True
36,Chargedoff,0.3134,0.3034,3.0,13,Not employed,4000,0.1575,0.1185,False
36,Completed,0.1338,0.1238,9.0,1,Full-time,10000,0.021,0.1024,True
36,Chargedoff,0.2287,0.2187,2.0,3,Self-employed,15000,0.099,0.1144,False
36,Current,0.162,0.152,5.0,1,Employed,15000,0.0649,0.07766,True
36,Chargedoff,0.2699,0.2599,6.0,6,Employed,2000,0.112,0.1414,False
36,Current,0.1619,0.1519,6.0,1,Employed,10000,0.052,0.0973,True
36,Defaulted,0.3177,0.3077,2.0,1,Employed,4000,0.165,0.1246,True
36,Completed,0.1234,0.1134,9.0,1,Full-time,2000,0.065,0.046,True
36,Completed,0.31,0.3,5.0,7,Full-time,3000,0.183,0.0994,True
36,Current,0.2452,0.2352,6.0,6,Employed,4000,0.119,0.1104,True
36,Chargedoff,0.3177,0.3077,3.0,1,Employed,4000,0.165,0.1246,True
60,Current,0.197,0.187,6.0,13,Employed,2000,0.0899,0.08284,True
60,Current,0.176,0.166,6.0,1,Employed,15000,0.0699,0.08528999999999999,True
36,Current,0.1449,0.1349,8.0,8,Employed,6000,0.0565,0.0761,True
36,Current,0.184,0.174,4.0,1,Employed,15000,0.0799,0.08172,True
60,Current,0.1655,0.1555,3.0,1,Employed,10000,0.0674,0.07819,True
60,Current,0.1769,0.1669,6.0,1,Employed,15000,0.0574,0.1001,True
36,Current,0.3199,0.3099,5.0,7,Not employed,5000,0.147,0.1487,False
36,Current,0.1099,0.0999,10.0,1,Employed,14000,0.0324,0.06387999999999999,True
36,Current,0.2419,0.2319,2.0,7,Employed,10000,0.1075,0.1051,True
60,Completed,0.2225,0.2125,6.0,2,Employed,10000,0.1025,0.0927,True
60,Current,0.1364,0.1264,8.0,10,Employed,5000,0.0249,0.101,True
36,Current,0.2469,0.2369,4.0,1,Employed,6000,0.1175,0.099,True
36,Current,0.2925,0.2825,2.0,1,Employed,4000,0.1475,0.10941,True
